kart,matchRank,matches,rankinggrade2,trackId
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,6,0083000c45a44d0b,3,9059aad0ca48f5d117ead7b8fd8903127aa047fb322af7af527185c94cc6c4ad
18084911550c21ca94cc0aff6a313b3ad21b4243f6cd446cc77544669f95235a,5,0083000c45a44d0b,0,9059aad0ca48f5d117ead7b8fd8903127aa047fb322af7af527185c94cc6c4ad
ffd2a1758730357726de85bdcf68789e4c38980fcebc62e25b9e71aabf6e732f,4,0083000c45a44d0b,3,9059aad0ca48f5d117ead7b8fd8903127aa047fb322af7af527185c94cc6c4ad
,3,0083000c45a44d0b,3,9059aad0ca48f5d117ead7b8fd8903127aa047fb322af7af527185c94cc6c4ad
cdf5176ad299c9fe8f4efb98a0476620bd727a133eeb7fc13ac7b47cd8da34e6,99,0083000c45a44d0b,2,9059aad0ca48f5d117ead7b8fd8903127aa047fb322af7af527185c94cc6c4ad
18084911550c21ca94cc0aff6a313b3ad21b4243f6cd446cc77544669f95235a,1,0083000c45a44d0b,1,9059aad0ca48f5d117ead7b8fd8903127aa047fb322af7af527185c94cc6c4ad
,3,0319000e45a3c230,4,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,5,0319000e45a3c230,4,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
cdf5176ad299c9fe8f4efb98a0476620bd727a133eeb7fc13ac7b47cd8da34e6,99,0319000e45a3c230,0,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
cdf5176ad299c9fe8f4efb98a0476620bd727a133eeb7fc13ac7b47cd8da34e6,2,0319000e45a3c230,4,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,6,0319000e45a3c230,0,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
9bc087c44de7d959774ab7bc1a624539b805b535f5512fce770fffbabdb1849a,1,0319000e45a3c230,3,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
0e52808784da835d1fdba4f43bfccb30e22d7d112f5c13b0fd91ca6dad47f9e8,99,0319000e45a3c230,1,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
,4,0319000e45a3c230,3,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
,2,00bd000c45a415fd,2,012b8f056c6836b8e52e03df95029f633af5194c0790642ae4bbfd66ec175378
,3,00bd000c45a415fd,5,012b8f056c6836b8e52e03df95029f633af5194c0790642ae4bbfd66ec175378
18084911550c21ca94cc0aff6a313b3ad21b4243f6cd446cc77544669f95235a,99,00bd000c45a415fd,0,012b8f056c6836b8e52e03df95029f633af5194c0790642ae4bbfd66ec175378
0bfa4bd1a3dd24f1d816c81cc3ff0542e4a81785ac6410b1c85664dcace5a5f6,99,00bd000c45a415fd,0,012b8f056c6836b8e52e03df95029f633af5194c0790642ae4bbfd66ec175378
,99,00bd000c45a415fd,0,012b8f056c6836b8e52e03df95029f633af5194c0790642ae4bbfd66ec175378
ffd2a1758730357726de85bdcf68789e4c38980fcebc62e25b9e71aabf6e732f,1,00bd000c45a415fd,3,012b8f056c6836b8e52e03df95029f633af5194c0790642ae4bbfd66ec175378
9bc087c44de7d959774ab7bc1a624539b805b535f5512fce770fffbabdb1849a,99,00bd000c45a415fd,2,012b8f056c6836b8e52e03df95029f633af5194c0790642ae4bbfd66ec175378
9bc087c44de7d959774ab7bc1a624539b805b535f5512fce770fffbabdb1849a,99,00bd000c45a415fd,2,012b8f056c6836b8e52e03df95029f633af5194c0790642ae4bbfd66ec175378
1b3a48737714a884215f3a7e812f9aff3f5f5207c1d7b212028562db92cc3d0b,99,0167001045a17e0c,0,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
18084911550c21ca94cc0aff6a313b3ad21b4243f6cd446cc77544669f95235a,99,0167001045a17e0c,0,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
dfe61bab589936d40672a671ddc51d69db743a348e4ead116a09cbc410e597f9,4,0167001045a17e0c,2,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,3,0167001045a17e0c,2,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
09da315c5777b7cd193f07f3f0797595fdc360498a2f6544e569e64008a98a86,1,0167001045a17e0c,2,ac5fc4f9758189ead4aab9f0fe73ade9dc550975ee42ec5499c82ce05521b705
